request_id,timestamp_utc,endpoint,status_code,latency_ms
req-001,2026-01-05T14:00:00Z,/api/balances,200,118
req-002,2026-01-05T14:00:05Z,/api/balances,200,125
req-003,2026-01-05T14:00:10Z,/api/balances,200,141
req-004,2026-01-05T14:00:15Z,/api/balances,200,132
req-005,2026-01-05T14:00:20Z,/api/balances,200,155
req-006,2026-01-05T14:00:25Z,/api/balances,200,162
req-007,2026-01-05T14:00:30Z,/api/balances,200,174
req-008,2026-01-05T14:00:35Z,/api/balances,200,188
req-009,2026-01-05T14:00:40Z,/api/balances,200,205
req-010,2026-01-05T14:00:45Z,/api/balances,200,219
req-011,2026-01-05T14:00:50Z,/api/balances,200,231
req-012,2026-01-05T14:00:55Z,/api/balances,200,245
req-013,2026-01-05T14:01:00Z,/api/balances,200,267
req-014,2026-01-05T14:01:05Z,/api/balances,200,284
req-015,2026-01-05T14:01:10Z,/api/balances,200,312
req-016,2026-01-05T14:01:15Z,/api/balances,200,348
req-017,2026-01-05T14:01:20Z,/api/balances,500,422
req-018,2026-01-05T14:01:25Z,/api/balances,200,391
req-019,2026-01-05T14:01:30Z,/api/balances,504,910
req-020,2026-01-05T14:01:35Z,/api/balances,200,476
