session_id,event_type,timestamp,step,result,duration_ms
session_0001,session_started,2026-01-19T00:00:00Z,session,ok,0
session_0001,application_viewed,2026-01-19T00:00:21Z,view,ok,21000
session_0001,application_started,2026-01-19T00:00:31Z,start,ok,10000
session_0001,personal_info_completed,2026-01-19T00:02:24Z,personal_info,ok,113000
session_0001,verification_started,2026-01-19T00:07:36Z,verification,ok,312000
session_0001,verification_completed,2026-01-19T00:13:01Z,verification,ok,325000
session_0001,review_viewed,2026-01-19T00:13:15Z,review,ok,14000
session_0001,application_submitted,2026-01-19T00:13:42Z,submit,ok,27000
session_0001,confirmation_viewed,2026-01-19T00:13:58Z,confirmation,ok,16000
session_0002,session_started,2026-01-19T00:20:00Z,session,ok,0
session_0002,application_viewed,2026-01-19T00:20:14Z,view,ok,14000
session_0002,application_started,2026-01-19T00:20:41Z,start,ok,27000
session_0002,personal_info_completed,2026-01-19T00:22:42Z,personal_info,ok,121000
session_0002,verification_started,2026-01-19T00:24:11Z,verification,ok,89000
session_0002,verification_completed,2026-01-19T00:25:29Z,verification,ok,78000
session_0002,review_viewed,2026-01-19T00:26:00Z,review,ok,31000
session_0002,application_submitted,2026-01-19T00:26:20Z,submit,ok,20000
session_0002,confirmation_viewed,2026-01-19T00:26:29Z,confirmation,ok,9000
session_0003,session_started,2026-01-19T00:40:00Z,session,ok,0
session_0003,application_viewed,2026-01-19T00:40:31Z,view,ok,31000
session_0003,application_started,2026-01-19T00:40:51Z,start,ok,20000
session_0003,personal_info_completed,2026-01-19T00:43:00Z,personal_info,ok,129000
session_0003,verification_started,2026-01-19T00:44:22Z,verification,ok,82000
session_0003,verification_completed,2026-01-19T00:45:33Z,verification,ok,71000
session_0003,review_viewed,2026-01-19T00:45:57Z,review,ok,24000
session_0003,application_submitted,2026-01-19T00:46:10Z,submit,ok,13000
session_0003,confirmation_viewed,2026-01-19T00:46:36Z,confirmation,ok,26000
session_0004,session_started,2026-01-19T01:00:00Z,session,ok,0
session_0004,application_viewed,2026-01-19T01:00:24Z,view,ok,24000
session_0004,application_started,2026-01-19T01:00:37Z,start,ok,13000
session_0004,personal_info_completed,2026-01-19T01:03:18Z,personal_info,ok,161000
session_0004,verification_started,2026-01-19T01:04:33Z,verification,ok,75000
session_0004,verification_completed,2026-01-19T01:06:01Z,verification,ok,88000
session_0004,review_viewed,2026-01-19T01:06:18Z,review,ok,17000
